"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 04:40:55 GMT 2024","Thu Sep 19 04:40:56 GMT 2024","833","Web automation Suit (0)","Purchase Product test","com.globant.academy.tests.PurchaseProductTest","com.globant.academy.tests.PurchaseProductTest","validatePurchaseProductsFlow","validatePurchaseProductsFlow",""
"passed","Thu Sep 19 04:40:54 GMT 2024","Thu Sep 19 04:40:55 GMT 2024","975","Web automation Suit (0)","Purchase Product test","com.globant.academy.tests.PurchaseProductTest","com.globant.academy.tests.PurchaseProductTest","validatePurchaseProductsFlow","validatePurchaseProductsFlow",""
"passed","Thu Sep 19 04:40:51 GMT 2024","Thu Sep 19 04:40:53 GMT 2024","1970","Web automation Suit","Logout test","com.globant.academy.tests.LogoutTest","com.globant.academy.tests.LogoutTest","validateSuccessfulLogout","validateSuccessfulLogout",""
"passed","Thu Sep 19 04:40:58 GMT 2024","Thu Sep 19 04:40:59 GMT 2024","571","Web automation Suit (1)","Remove Items test","com.globant.academy.tests.RemoveItemsTest","com.globant.academy.tests.RemoveItemsTest","removeShoppingCartProducts","removeShoppingCartProducts",""
"passed","Thu Sep 19 04:40:57 GMT 2024","Thu Sep 19 04:40:58 GMT 2024","832","Web automation Suit (0)","Purchase Product test","com.globant.academy.tests.PurchaseProductTest","com.globant.academy.tests.PurchaseProductTest","validatePurchaseProductsFlow","validatePurchaseProductsFlow",""
